,part_number,description,quantity,price,inventory_category,annual_days_supply
1020,4010-0008,disc lock safety cable,4,10.99,non-essential,206.0
1021,4010-0219,kryptolock dfs 10mm orange,6,85.99,non-essential,270.0
1022,4013251,sensor-wheel speed,2,294.99,nearing_obsolete,720.0
1023,4014471,"solenoid starter, c1100 w/ was",1,128.99,nearing_obsolete,180.0
1024,4014609,battery 30 amp hour type agm,1,269.99,non-essential,180.0
1025,4016021,sensor-oxygen,2,239.99,non-essential,180.0
1026,4017227,"lead,spark plug-rear cylinder",1,134.99,non-essential,360.0
1027,4017581,"battery-12v240cca,12ah,ytx14h",3,172.99,non-essential,540.0
1028,4017761,"keyfob-gen2,nokey,2b,v1",1,454.99,essential,360.0
1029,4017819,"battery-12v,245cca,13ah,mx15-4",12,172.99,non-essential,480.0
1030,4019242,"battery-ytx20hl,18ah,310caa,v2",9,205.99,non-essential,405.0
1031,4019453,"sensor-gear position,n-6,475",1,104.99,non-essential,360.0
1032,4019515,lead-ignition coil,2,38.99,nearing_obsolete,360.0
1033,4080060,"lead,spark plug-front",1,134.99,non-essential,360.0
1034,4080353,chain adjust c hook wrench,1,49.99,non-essential,360.0
1035,4081311,battery-key fob,45,10.99,essential,395.0
1036,4081841,"battery-ytx20hl,18ah,310caa,v3",7,205.99,non-essential,315.0
1037,4085550,ducati rear wheel lock nut,3,63.99,nearing_obsolete,1080.0
1038,4086665,oil filter cup wrench 76mm- 8,2,14.99,non-essential,360.0
1039,408e5551,alloy steel ducati wheel nut,3,78.99,nearing_obsolete,540.0
1040,42510012a,fuel filter,9,17.99,non-essential,3240.0
1041,42540041b,ducati fuel filter,5,70.99,nearing_obsolete,450.0
1042,42610111a,"filter, air",1,36.99,nearing_obsolete,360.0
1043,42610131a,"filter, air",1,81.99,non-essential,360.0
1044,42610191a,"filter, air",2,39.99,non-essential,103.0
1045,42610201a,"filter, air",3,128.99,nearing_obsolete,360.0
1046,42610341b,"filter, air",2,77.99,nearing_obsolete,144.0
1047,42610491a,"filter, air",2,82.99,nearing_obsolete,240.0
1048,42610712a,"filter, air",4,67.99,nearing_obsolete,1440.0
1049,4402-0847,50r bluetooth with mesh,2,778.99,nearing_obsolete,720.0
1050,4402-0857,packtalk slim jbl duo,2,809.99,nearing_obsolete,720.0
1051,4402-0902,spirit single,1,134.99,nearing_obsolete,120.0
1052,4402-0904,spirit hd single,4,201.99,nearing_obsolete,240.0
1053,4402-0939,packtalk edge - single,3,525.99,nearing_obsolete,90.0
1054,44440039a,"filter, oil",105,31.99,essential,390.0
1055,44440312b,"filter, oil",27,38.99,non-essential,810.0
1056,4449147360,e1 tuareg yellow xl,1,974.49,essential,360.0
1057,45120201a,"tensioner, timing belt movable",4,135.99,non-essential,288.0
1058,45120211a,tensioner timing belt fixed,10,80.99,non-essential,1200.0
1059,45120241a,complete movable tensioner,2,121.99,non-essential,720.0
1060,45120311c,complete movable tensioner,2,158.99,non-essential,720.0
1061,45610541a,shift lever,1,130.99,nearing_obsolete,180.0
1062,45720461a,"pedal, brake",1,138.99,nearing_obsolete,360.0
1063,4601i481ab,heat guard bottom,1,78.99,non-essential,120.0
1064,46200,metal polish autosol (12/cs),9,17.99,nearing_obsolete,3240.0
1065,46517680685,fillister head screw,4,5.99,nearing_obsolete,720.0
1066,46517688871,fillister head screw,8,6.99,nearing_obsolete,1440.0
1067,46517688995,isa screw,2,21.99,nearing_obsolete,720.0
1068,46519909279,fillister-head screw,27,11.99,non-essential,9720.0
1069,46522331991,bushing,2,20.99,non-essential,360.0
1070,46532335449,holder,4,22.99,nearing_obsolete,1440.0
1071,46537678010,bushing,2,29.99,non-essential,720.0
1072,46537679105,collar bush,2,19.99,nearing_obsolete,120.0
1073,46537707216,side-support screw,1,38.99,nearing_obsolete,180.0
1074,46537708016,retainer,13,1.99,nearing_obsolete,2340.0
1075,46537712014,tension strap,3,7.99,nearing_obsolete,540.0
1076,46537715130,oval head screw,4,7.99,nearing_obsolete,720.0
1077,46537719788,countersunk screw,1,26.99,non-essential,360.0
1078,46539909561,fillister-head screw,3,26.99,nearing_obsolete,540.0
1079,46547690717,c-clip nut,6,6.99,nearing_obsolete,2160.0
1080,46547708909,rubber cover,2,3.99,non-essential,360.0
1081,46548404578,topcase carrier luggage carr,2,427.99,nearing_obsolete,720.0
1082,46548532050,"cover with gasket, right",1,600.99,essential,360.0
1083,46617713314,fillister head screw,11,4.99,nearing_obsolete,3960.0
1084,46618532313,"front wheel cover, lower",1,185.99,nearing_obsolete,360.0
1085,46622307857,plug-in nut,7,3.99,nearing_obsolete,1260.0
1086,46627652556,fillister head screw,6,3.99,non-essential,432.0
1087,46627692608,oval-head screw with anti-ro,11,5.99,non-essential,1980.0
1088,46628543238,bush,5,4.99,nearing_obsolete,900.0
1089,46631451275,bush,1,4.99,non-essential,120.0
1090,46632325998,flanged cap screw,5,3.99,non-essential,360.0
1091,46632346396,cockpit trim panel,1,100.99,nearing_obsolete,360.0
1092,46632347012,"blind rivet nut, flat headed",4,8.99,nearing_obsolete,1440.0
1093,46637658638,flat nut,7,3.99,nearing_obsolete,630.0
1094,46637659459,oval-head screw with anti-ro,11,4.99,nearing_obsolete,1980.0
1095,46637686286,flanged cap screw,15,3.99,nearing_obsolete,1080.0
1096,46637691016,snap-lock coupling,1,5.99,nearing_obsolete,360.0
1097,46637694548,"c-clip nut, self-locking",9,4.99,non-essential,147.0
1098,46637699356,threaded bush,1,24.99,non-essential,180.0
1099,46637714241,plastic washer,38,0.99,nearing_obsolete,2736.0
1100,46637721031,flat nut,2,3.99,nearing_obsolete,120.0
1101,46637724481,"flange sleeve, steel",14,6.99,non-essential,458.0
1102,46637727398,hand protector right,1,150.99,non-essential,360.0
1103,46638389433,left engine protection bar,6,361.99,essential,2160.0
1104,46638521396,mounting clip,11,3.99,nearing_obsolete,566.0
1105,46638521653,body screw with shoulder,10,5.99,non-essential,1200.0
1106,46638521654,body screw with shoulder,1,5.99,non-essential,180.0
1107,46638523431,hand protector left,1,81.99,non-essential,180.0
1108,46638523432,hand protector right,2,81.99,nearing_obsolete,240.0
1109,46638524931,"windshield bracket, left",1,55.99,nearing_obsolete,360.0
1110,46638526812,"fairing side panel, front ri",1,160.99,non-essential,360.0
1111,46638527151,grommet,6,3.99,non-essential,2160.0
1112,46638527780,body screw without shoulder,27,4.99,nearing_obsolete,1215.0
1113,46638532168,grommet,3,3.99,nearing_obsolete,1080.0
1114,46638532314,"c-clip nut, self-locking",17,4.99,non-essential,408.0
1115,46638533681,"tank pad, black",4,72.99,non-essential,360.0
1116,46638534861,trim for steering wheel,1,56.99,non-essential,360.0
1117,46638534938,body screw without shoulder,16,5.99,non-essential,823.0
1118,46638546386,bmw emblem,1,93.99,nearing_obsolete,180.0
1119,46638555101,rubber grommet,6,4.99,nearing_obsolete,360.0
1120,46638557871,grommet,29,3.99,nearing_obsolete,1160.0
1121,46638561352,securing clip,2,12.99,nearing_obsolete,360.0
1122,46639908452,fillister-head screw,34,4.99,essential,133.0
1123,46712330765,stopper,3,14.99,non-essential,360.0
1124,46717711222,tension spring brake pedal,1,17.99,non-essential,360.0
1125,46717716152,"thrust washer, right",1,5.99,non-essential,120.0
1126,46717726491,trapezoidal screw,4,4.99,nearing_obsolete,720.0
1127,47229,year round liquid coolant 1.89,2,38.99,nearing_obsolete,720.0
1128,48804,protect-all protector spray,4,19.99,non-essential,480.0
1129,49210061a,rear brake disc,1,274.99,nearing_obsolete,360.0
1130,49720071ac,"valve, tubeless tire",5,23.99,nearing_obsolete,1800.0
1131,4990002503,e1 visor 60-65,1,102.7,nearing_obsolete,360.0
1132,4990004701,c4 clear 57-65,1,94.89,nearing_obsolete,180.0
1133,4990004719,c4/c4 pro pinlock 120 lg,2,54.99,nearing_obsolete,720.0
1134,4990004721,c3 pinlock xl-xxxl,2,49.99,nearing_obsolete,720.0
1135,4990010071,c5 head pad xl round head,1,59.99,nearing_obsolete,360.0
1136,4990010204,c5 dark smoked external visor,2,117.35,nearing_obsolete,720.0
1137,501-170a,drain plug washer-crush,549,1.99,non-essential,21960.0
1138,501880,tube 16 mi 2171 (pv-78) street,3,49.99,nearing_obsolete,1080.0
1139,508369,"tube 17mi valve tr4 street 17""",7,52.99,non-essential,2520.0
1140,508373,tube 18mg valve tr-4 street 18,3,44.99,nearing_obsolete,154.0
1141,50854-s,"sportgrey,ind,script,sold-sm",1,29.99,nearing_obsolete,360.0
1142,51117707528,fillister head screw with co,26,2.99,non-essential,1872.0
1143,51161459069,pin,1,5.99,non-essential,360.0
1144,51168197908,expanding rivet,11,0.99,nearing_obsolete,1980.0
1145,51168567447,mirror left,1,155.99,non-essential,360.0
1146,51168567448,mirror right,1,155.99,non-essential,360.0
1147,51181852299,plug-in nut,2,0.99,nearing_obsolete,240.0
1148,51257698202,rep.kit f lock cylinder,13,40.99,non-essential,312.0
1149,51257698204,rep.kit f lock cylinder,54,37.99,non-essential,2777.0
1150,51258406057,repair kit key bit,1,32.99,non-essential,180.0
1151,51258540950,vehicle key (code),1,140.99,nearing_obsolete,360.0
1152,5134083,sleeve-turnsignal mount,4,3.99,nearing_obsolete,720.0
1153,5136821,piston,4,25.99,nearing_obsolete,360.0
1154,5136822,slide-metal,4,39.99,nearing_obsolete,360.0
1155,5138477-495,"valve tappet, graded 4.950",4,59.99,nearing_obsolete,1440.0
1156,5138477-498,"valve tappet 4.975mm, sb grn mt",4,59.99,nearing_obsolete,720.0
1157,5138477-505,"valve tappet, graded",3,59.99,nearing_obsolete,540.0
1158,5138477-542,"graded valve tappet, 5.425",4,59.99,nearing_obsolete,1440.0
1159,5139695,"mount-seat,ind",11,34.99,nearing_obsolete,3960.0
1160,5140611,dart-seat retention,1,39.99,non-essential,360.0
1161,51498237075,expanding rivet,21,1.99,nearing_obsolete,3780.0
1162,515-1060,150/70b17tl 69t k60 sc m+s,2,355.99,nearing_obsolete,720.0
1163,515-1061,170/60b17tl 72s k60 sc m+s,1,382.99,nearing_obsolete,360.0
1164,515-1078,110/80b19tl 59t k60 sc m+s,2,271.99,nearing_obsolete,720.0
1165,515-1080,120/70b19tl 60s k60 sc m+s,1,286.99,nearing_obsolete,360.0
1166,515105,helm revolt decoy gy xl ckx,1,129.99,nearing_obsolete,360.0
1167,51711916197,lock,5,2.99,non-essential,900.0
1168,51711916199,lock insert,15,2.99,non-essential,5400.0
1169,51717056053,blind plug,8,1.99,non-essential,1440.0
1170,52510692a,taillight,1,437.99,nearing_obsolete,360.0
1171,52532307579,bump stop,4,8.99,non-essential,1440.0
1172,52537664664,bump stop,4,4.99,non-essential,1440.0
1173,5257156,gasket-exhaust,12,21.99,nearing_obsolete,1080.0
1174,5261302,120/70r15 56h tl feel free f,1,294.99,nearing_obsolete,360.0
1175,5262149,150/70r18 m/c 70v m+s tl karoo,1,349.99,nearing_obsolete,360.0
1176,5264604,100/90-19 tl 57h cruisetec fr,2,289.99,nearing_obsolete,720.0
1177,5271416,"gasket-exhaust,header",8,54.99,non-essential,180.0
1178,53010226a,flasher light front lh - rear,2,48.99,nearing_obsolete,720.0
1179,53010234a,flasher light front rh- rear l,1,48.99,nearing_obsolete,360.0
1180,53910401b,microswitch,1,75.99,nearing_obsolete,360.0
1181,53920901a,"switch, rear brake",1,80.99,non-essential,360.0
1182,540,540 from barrel,196,19.49,essential,87.0
1183,5412070,isolator cover sprocket,9,8.99,non-essential,3240.0
1184,5412530,"o-ring-26.65x2.62,0600083",5,8.99,non-essential,450.0
1185,5413212,"seal-stat-o-3/8,70ep(10)",18,14.99,non-essential,3240.0
1186,5414514,"seal-fuel,molded",2,69.99,non-essential,360.0
1187,5414562,gasket-stator cover,3,114.99,non-essential,540.0
1188,5414563,gasket-primary cover,3,114.99,non-essential,360.0
1189,5414809,spark plug tube seal,6,10.99,nearing_obsolete,1080.0
1190,5415190,valve cover isolator,18,25.99,nearing_obsolete,1080.0
1191,5415232,"valve cover seal, front, india",3,84.99,nearing_obsolete,1080.0
1192,5415233,"valve cover seal, rear, ind",3,114.99,nearing_obsolete,1080.0
1193,5415825,filter-air-intake,6,129.99,non-essential,360.0
1194,5415899,valve isolator cover,34,19.99,nearing_obsolete,471.0
1195,5415929,"grip-handlebar,7/8 ,i,lh",2,44.99,non-essential,720.0
1196,5415984,gasket-acg inner,4,104.99,nearing_obsolete,720.0
1197,5416039,"o-ring,45mmx4mm",1,8.99,non-essential,360.0
1198,5416228,non-grip throttle,3,96.99,nearing_obsolete,1080.0
1199,5416596,"gasket-primary cover,outer",1,16.99,nearing_obsolete,360.0
1200,5416820,"bushing,flange,rubber",3,2.99,nearing_obsolete,216.0
1201,5417503,"o-ring,drainplug,6.07mmx1.78mm",16,8.99,nearing_obsolete,1920.0
1202,5418558,junction-coolant,2,19.99,nearing_obsolete,360.0
1203,54347166771,rubber buffer,9,1.99,non-essential,3240.0
1204,5437772,grommet-4mm,7,3.99,nearing_obsolete,630.0
1205,5450958,ring-parbak-121,2,6.99,nearing_obsolete,360.0
1206,5453431,"badge-vintage,flat",2,38.99,non-essential,360.0
1207,5454018,cam-pad,8,19.99,non-essential,2880.0
1208,5454074,"retainer-harness,side mount",8,16.99,non-essential,2880.0
1209,5456313,"clip-trim,plastic,white",11,3.99,non-essential,3960.0
1210,5459037,brkt-battery,2,49.99,nearing_obsolete,360.0
1211,550037980,advance 4t ultra 15w-50 1l,42,21.99,nearing_obsolete,2520.0
1212,550047150,ducati 15/50,211,21.99,essential,240.0
1213,550047581,ducati 15w-50 1l,35,21.99,essential,97.0
1214,555-06774,wfx max gtx black l,1,259.99,nearing_obsolete,360.0
1215,55621052aa,"bracket, side stand",2,56.99,non-essential,360.0
1216,563-1030,carbon guards only - incl.,2,273.99,non-essential,720.0
1217,563-1048,vps plastic guards only w/vhd.,1,64.99,nearing_obsolete,360.0
1218,563-1155,storm plastic guards only. bla,3,58.99,non-essential,216.0
1219,563-1191,"hware enfield him (16-),",1,157.99,nearing_obsolete,360.0
1220,563-1217,hware triumph tiger 900(19-),3,157.99,nearing_obsolete,360.0
1221,563-1234,hardware kit tiger 1200 2022,1,157.99,nearing_obsolete,360.0
1222,5633816-626,"mount-lp brkt,side,tx blk",10,104.99,non-essential,1800.0
1223,5633817,"brkt-lp,side",9,39.99,non-essential,3240.0
1224,566-11160,bc.trs.00.103.20002..evo gs ta,1,389.99,nearing_obsolete,360.0
1225,566-13093,trt.00.640.30601/b q-l evo tkr,5,54.99,nearing_obsolete,1800.0
1226,566-14738,bc.trs.00.104.30000..pro city,1,404.99,nearing_obsolete,360.0
1227,566-14741,bc.trs.00.110.30000..pro micro,1,229.99,nearing_obsolete,360.0
1228,566-14767,trt.00.787.30600/b pro tankri,2,54.99,nearing_obsolete,360.0
1229,566-15092,sts.11.962.10001 sidestand foo,2,122.99,nearing_obsolete,720.0
1230,566-15268,pro tank ring himalayan (21-22),1,54.99,non-essential,360.0
1231,574031/a,o ring oil strainer cover,27,9.99,non-essential,1215.0
1232,574189/a,o ring cam shaft hole plug,25,4.99,nearing_obsolete,9000.0
1233,574325/b,copper washer,43,4.99,non-essential,1720.0
1234,574556/a,o ring cover tappet,59,8.99,non-essential,2124.0
1235,574672/b,"gasket, cap oil filter",12,2.99,nearing_obsolete,4320.0
1236,575139/f,oil filter comp,16,19.99,nearing_obsolete,823.0
1237,575247/d,cylinder head cover gasket,16,29.99,nearing_obsolete,1920.0
1238,575595/a,washer_seal (rocker cover),20,12.99,nearing_obsolete,600.0
1239,575630/a,washer m14,53,2.99,nearing_obsolete,2726.0
1240,576065/c,gasket silencer,20,16.99,non-essential,1800.0
1241,581083/c,lever and holder assy lh,3,22.99,non-essential,1080.0
1242,5812232,washer-19x12x1.3-copper (10),67,5.99,non-essential,804.0
1243,5813188,"wshr-fl,11x18x1.59mm",7,2.99,nearing_obsolete,2520.0
1244,5813897,gasket-primary cover,3,104.99,nearing_obsolete,1080.0
1245,5814902,"filter, air",3,44.99,nearing_obsolete,1080.0
1246,5815068,filter-air,4,44.99,non-essential,240.0
1247,587861/a,o-ring fuel gauge,1,4.99,non-essential,120.0
1248,59018461c,pipe,2,52.99,nearing_obsolete,720.0
1249,59340393a,"electric motor, exhaust valve",1,531.99,non-essential,360.0
1250,594698/a,brake pad kit rear caliper-nt,7,46.99,nearing_obsolete,2520.0
1251,594711/a,lever kit front m/c,11,25.99,non-essential,3960.0
1252,6031002,t/down exten blk 2pc/set,7,7.99,nearing_obsolete,630.0
1253,6034190,cargo net 15x15 red,4,9.99,nearing_obsolete,1440.0
1254,61131367599,cable tie,105,1.99,non-essential,9450.0
1255,61137723698,rubber tension strap,15,5.99,nearing_obsolete,5400.0
1256,61138080160,rubber grommet,1,11.99,nearing_obsolete,360.0
1257,61138353747,cable connector,20,2.99,nearing_obsolete,3600.0
1258,61138532186,rubber grommet,7,4.99,non-essential,840.0
1259,61139200225,cable strap with bracket,10,3.99,nearing_obsolete,3600.0
1260,61212346800,"bmw,motorad,battery",9,195.99,non-essential,360.0
1261,61217708614,agm batterie,3,310.99,non-essential,1080.0
1262,61217726806,compensating plate,3,17.99,non-essential,1080.0
1263,61217729049,battery,10,110.99,nearing_obsolete,600.0
1264,61218394179,battery agm,12,360.99,essential,180.0
1265,61218525794,rubber tension strap,1,18.99,nearing_obsolete,360.0
1266,61218531108,battery agm,7,325.99,non-essential,1260.0
1267,61218531121,battery agm,7,220.99,nearing_obsolete,2520.0
1268,61218536887,cover cap jump start connect,2,1.99,nearing_obsolete,720.0
1269,61218544472,agm battery,5,345.99,non-essential,900.0
1270,61240161a,pad pins overhaul kit,1,13.99,non-essential,360.0
1271,61311459569,switch,1,155.99,nearing_obsolete,360.0
1272,61311459870,front stop light switch,1,71.99,non-essential,360.0
1273,61317671111,microswitch,2,43.99,non-essential,720.0
1274,61317680531,left grooved handle,1,170.99,nearing_obsolete,360.0
1275,61317727067,handle left,1,154.99,non-essential,180.0
1276,61318388642,"switch, kickstand",1,180.99,nearing_obsolete,360.0
1277,61318550021,combination switch left,1,605.99,nearing_obsolete,360.0
1278,61318562126,brake light switch foot brake,2,43.99,non-essential,240.0
1279,61338015200,oil filter,1,31.0,non-essential,360.0
1280,61340121a,pads pair,6,124.99,non-essential,360.0
1281,61340382a,rear brake pads set,3,58.99,non-essential,360.0
1282,61340731a,rear brake pads set,3,40.99,nearing_obsolete,1080.0
1283,61340761a,rear brake pads set fa213,1,53.99,non-essential,180.0
1284,61340951a,rear brake pads set,5,59.99,non-essential,1800.0
1285,61341021a,front brake pads set,3,124.99,nearing_obsolete,540.0
1286,61341161a,rear brake pads set,5,109.99,nearing_obsolete,900.0
1287,61341598766,usb charging socket,2,50.99,non-essential,720.0
1288,61347714741,plug-in socket,1,65.99,nearing_obsolete,360.0
1289,61349899950,adapter lead,1,45.99,nearing_obsolete,360.0
1290,61357705247,ring antenna,3,90.99,non-essential,360.0
1291,61610021a,joint y,4,7.99,nearing_obsolete,1440.0
1292,620063,fork oil factory line 7.5w 1l,4,30.99,non-essential,103.0
1293,620126,(cs/12) 5100 15w50 1 litre,2,22.99,nearing_obsolete,120.0
1294,62096,throttle rocker,1,13.99,nearing_obsolete,72.0
1295,62161459608,gasket ring,1,26.99,non-essential,360.0
1296,62217670749,rubber grommet,10,3.99,nearing_obsolete,1800.0
1297,63-1023,bar end,4,63.99,non-essential,720.0
1298,63-1055,vps with wind deflector,2,64.99,nearing_obsolete,360.0
1299,63137655661,oval head screw,15,4.99,nearing_obsolete,386.0
1300,63137667767,lamp lens,3,29.99,nearing_obsolete,540.0
1301,63138534350,lamp lens,2,29.99,non-essential,720.0
1302,63138534351,lamp lens,1,29.99,nearing_obsolete,360.0
1303,63138557204,led turn indicator,7,105.99,non-essential,360.0
1304,63140591a,"lever, front brake",1,222.99,nearing_obsolete,360.0
1305,63147671349,reflector red,5,19.99,nearing_obsolete,450.0
1306,63147695306,license plate holder,3,87.99,nearing_obsolete,1080.0
1307,63148525513,rear reflector yellow,2,27.99,nearing_obsolete,360.0
1308,63148529378,rear reflector yellow,1,22.99,non-essential,360.0
1309,63212346438,rear reflector red,6,27.99,non-essential,1080.0
1310,63217160777,bulb,2,13.99,nearing_obsolete,360.0
1311,63217160780,bulb,10,21.99,essential,97.0
1312,63217160789,bulb,17,8.99,nearing_obsolete,3060.0
1313,63217160797,longlife bulb,8,11.99,non-essential,480.0
1314,63217169203,bulb,20,7.99,nearing_obsolete,2400.0
1315,63238557203,led turn indicator,2,105.99,nearing_obsolete,720.0
1316,6327651204,fillister head screw,6,3.99,non-essential,360.0
1317,6327651211,fillister head screw,15,8.99,nearing_obsolete,338.0
1318,6327651212,binding head screw,18,2.99,essential,180.0
1319,6327657949,fillister head screw,29,4.99,non-essential,652.0
1320,6327657966,fillister head screw,16,3.99,nearing_obsolete,640.0
1321,63536053100,valve cover seal,1,17.99,non-essential,360.0
1322,64221356171,expanding rivet,59,0.99,non-essential,2655.0
1323,6511405,pinlock insert exo-,1,44.99,non-essential,180.0
1324,65908354256,mount cradle without audio m,1,208.99,nearing_obsolete,360.0
1325,65908524463,cover,6,13.99,nearing_obsolete,2160.0
1326,66-14739,"pro,engage,tankbag",1,269.99,non-essential,120.0
1327,66020031e,throttle control,1,149.99,non-essential,360.0
1328,66126912985,battery,37,5.99,non-essential,579.0
1329,66128549911,emergency code,8,99.99,non-essential,320.0
1330,66910011e,c ring,90,7.99,essential,275.0
1331,66910031a,half-rings,51,3.99,non-essential,2295.0
1332,67040351a,"spark plug, dcpr8e",10,24.99,nearing_obsolete,450.0
1333,67040381a,spark plug ngk mar10a-j,8,51.99,non-essential,1440.0
1334,67040451a,spark plug ngk mar9a-j,13,57.99,non-essential,180.0
1335,67090071a,spark plug champion ra4hc,6,15.99,non-essential,540.0
1336,67090081a,spark plug champion ra6hc,8,15.99,non-essential,1440.0
1337,67090121a,spark plug ra59gc,10,44.99,nearing_obsolete,1800.0
1338,67090161b,spark plug champion rg4hc,4,33.99,nearing_obsolete,720.0
1339,67621011a,final drive kit,1,530.99,nearing_obsolete,360.0
1340,6826002,muc-off helmet & visor,4,8.99,non-essential,360.0
1341,69928471bz,tecmate charger pb-acid us,32,140.99,non-essential,3840.0
1342,69929011az,tecmate charger litio us,2,155.99,non-essential,360.0
1343,69929411a,kit proctective sheath rear,1,38.99,nearing_obsolete,360.0
1344,69929501a,rear brake hoses kit mr821,1,180.99,non-essential,360.0
1345,69929642a,mts v4 central stand screws,2,49.99,non-essential,240.0
1346,70010232a,vibration damper,4,12.99,nearing_obsolete,1440.0
1347,70240381a,bearing,2,39.99,nearing_obsolete,360.0
1348,70240581a,bearing,7,24.99,nearing_obsolete,2520.0
1349,70240691a,bearing,8,22.99,non-essential,360.0
1350,70241231a,"bearing, steering ntn sf07a17p",10,81.99,non-essential,450.0
1351,70250621a,bearing,4,28.99,nearing_obsolete,360.0
1352,70250681a,bearing,2,20.99,nearing_obsolete,180.0
1353,70250721a,bearing,2,15.99,nearing_obsolete,360.0
1354,7042307,"sprg-pin,shift indicator pin",4,49.99,nearing_obsolete,720.0
1355,7045048,"spring-compr,lp,side mnt,18od",8,14.99,non-essential,2880.0
1356,7045661,spring-sidestand,1,84.99,non-essential,180.0
1357,706068,520mvxz-mlj/g rivet link s/s,4,5.99,nearing_obsolete,1440.0
1358,7080138,cable tie,25,2.99,non-essential,1500.0
1359,7081909,"clip-m5,stud mount tie,146mm",6,5.99,non-essential,270.0
1360,7082310,clamp-worm drive 2.25 dia,11,6.99,non-essential,1320.0
1361,7082311,clamp-worm drive 4.00 dia,11,8.99,non-essential,3960.0
1362,7083019,filter-air,4,47.99,nearing_obsolete,1440.0
1363,71011071a,bush,3,21.99,non-essential,540.0
1364,71111301a,"spindle, taper",4,17.99,non-essential,720.0
1365,71117691446,opener oil cap,9,8.99,nearing_obsolete,540.0
1366,71118542260,car tool,1,47.99,nearing_obsolete,360.0
1367,7119900244,gasket ring,1,3.99,nearing_obsolete,360.0
1368,7119900537,washer,25,0.99,nearing_obsolete,9000.0
1369,7119902292,screw plug,2,5.99,nearing_obsolete,720.0
1370,7119902754,hex nut wiht flange,4,1.99,nearing_obsolete,480.0
1371,7119903479,lock ring,6,3.99,nearing_obsolete,1080.0
1372,7119904024,hex nut,6,1.99,nearing_obsolete,1080.0
1373,7119904152,hex bolt,12,2.99,nearing_obsolete,2160.0
1374,7119904185,sheet metal screw,10,0.99,nearing_obsolete,1200.0
1375,7119904393,screw plug,8,1.99,nearing_obsolete,2880.0
1376,7119904436,fillister-head screw,1,13.99,nearing_obsolete,360.0
1377,7119904463,wave washer,9,1.99,nearing_obsolete,1620.0
1378,7119904550,screw plug,8,2.99,nearing_obsolete,2880.0
1379,7119904670,flange nut,6,1.99,non-essential,540.0
1380,7119904689,lock ring,10,20.99,nearing_obsolete,1800.0
1381,7119904691,o-ring,7,6.99,nearing_obsolete,2520.0
1382,7119904693,o-ring,2,3.99,non-essential,144.0
1383,7119904924,washer,4,5.99,non-essential,180.0
1384,7119904950,o-ring,2,6.99,nearing_obsolete,360.0
1385,7119905032,hex nut,19,3.99,nearing_obsolete,6840.0
1386,7119905076,lock ring,4,12.99,nearing_obsolete,240.0
1387,7119905077,lock ring,2,7.99,nearing_obsolete,360.0
1388,7119905198,o-ring,238,3.99,nearing_obsolete,42840.0
1389,7119905374,self-locking collar nut,28,2.99,nearing_obsolete,3360.0
1390,7119905506,hex nut,14,3.99,non-essential,1260.0
1391,7119905511,longlife bulb,16,14.99,nearing_obsolete,2880.0
1392,7119905544,hex nut with plate,21,1.99,non-essential,1080.0
1393,7119905977,hex nut wiht flange,27,4.99,non-essential,3240.0
1394,7119906050,hex nut,13,1.99,nearing_obsolete,1560.0
1395,7119906097,grub screw,11,2.99,nearing_obsolete,3960.0
1396,7119906172,fillister-head screw,8,3.99,non-essential,480.0
1397,7119906225,hex nut,15,2.99,nearing_obsolete,1800.0
1398,7119906226,hex nut,1,4.99,non-essential,180.0
1399,7119906605,o-ring,15,4.99,non-essential,1080.0
1400,7119906667,washer,1,3.99,non-essential,180.0
1401,7119906808,lock ring,11,15.99,non-essential,990.0
1402,7119906874,grooved drive stud,8,4.99,non-essential,720.0
1403,7119907030,washer,8,4.99,non-essential,480.0
1404,7119907129,o-ring,8,7.99,nearing_obsolete,480.0
1405,7119907198,circlip,4,4.99,nearing_obsolete,240.0
1406,7119907874,o-ring,3,5.99,non-essential,154.0
1407,7119908207,fillister-head screw,14,7.99,essential,78.0
1408,7119909473,hex bolt,8,4.99,nearing_obsolete,1440.0
1409,7119909546,o-ring,1,5.99,nearing_obsolete,360.0
1410,7119933034,spring washer,45,0.99,nearing_obsolete,16200.0
1411,7119933060,spring washer,15,0.99,nearing_obsolete,5400.0
1412,7119934723,lock ring,3,1.99,non-essential,1080.0
1413,7119963017,gasket ring,9,3.99,non-essential,3240.0
1414,7119963041,gasket ring,10,0.99,nearing_obsolete,900.0
1415,7119963044,gasket ring,45,1.99,non-essential,8100.0
1416,7119963072,gasket ring,416,0.99,essential,2582.0
1417,7119963073,gasket ring,49,0.99,non-essential,1357.0
1418,7119963130,gasket ring,339,0.99,nearing_obsolete,11095.0
1419,7119963132,gasket ring,161,2.99,essential,659.0
1420,7119963200,gasket ring,245,1.99,essential,3041.0
1421,7119963252,gasket ring,311,2.99,essential,495.0
1422,7119963253,gasket ring,23,3.99,nearing_obsolete,2760.0
1423,7119963276,gasket ring,48,2.99,nearing_obsolete,8640.0
1424,7119963300,gasket ring,58,2.99,essential,535.0
1425,7119963340,gasket ring,229,1.99,essential,512.0
1426,7119963342,gasket ring,85,1.99,non-essential,4371.0
1427,7119981416,grooved ball bearing,1,56.99,non-essential,90.0
1428,71217698971,sign tpc tire pressure c,8,26.99,nearing_obsolete,1440.0
