,part_number,description,quantity,price,roi
2249,286192506,ww bk ls contrast hoodie l,1,119.99,-100.0
2250,286192512,ww bk ls contrast hoodie 2xl,2,119.99,-100.0
2251,286192514,ww bk ls contrast hoodie 3xl,1,119.99,-100.0
2252,286192902,ww bl ls indigo shirt s,1,89.99,-100.0
2253,286192909,ww bl ls indigo shirt xl,2,89.99,-100.0
2254,286263402,"mens freeway jacket 2 bk, s",1,689.99,-100.0
2255,286263403,"mens freeway jacket 2 bk, m",1,689.99,-46.15
2256,286263406,"mens freeway jacket 2 bk, l",1,689.99,-100.0
2257,286263409,"mens freeway jacket 2 bk, xl",1,689.99,-46.15
2258,286263412,"mens freeway jacket 2 bk, 2xl",1,689.99,-100.0
2259,286263502,"wmns freeway jacket 2 bk, s",1,689.99,-100.0
2260,286263503,"wmns freeway jacket 2 bk, m",2,689.99,-100.0
2261,286263506,"wmns freeway jacket 2 bk, l",2,689.99,-100.0
2262,286263509,"wmns freeway jacket 2 bk, xl",2,689.99,-100.0
2263,286263512,"wmns freeway jacket 2 bk, 2xl",2,689.99,-100.0
2264,286263614,"mens detroit bomber gy, 3xl",1,324.99,-100.0
2265,286273802,"mens western vest bk, s",1,259.99,-100.0
2266,286273806,"mens western vest bk, l",1,259.99,-100.0
2267,286273814,"mens western vest bk, 3xl",2,259.99,-100.0
2268,286273902,"wmns lindy vest bk, s",4,259.99,-100.0
2269,286273903,"wmns lindy vest bk, m",4,259.99,-100.0
2270,286273906,"wmns lindy vest bk, l",2,259.99,-73.08
2271,286273909,"wmns lindy vest bk, xl",1,259.99,7.7
2272,286273912,"wmns lindy vest bk, 2xl",3,259.99,-82.05
2273,286274002,"mens casual bomber bk, s",1,199.99,-100.0
2274,286274003,"mens casual bomber bk, m",1,199.99,-100.0
2275,286274006,"mens casual bomber bk, l",2,199.99,-100.0
2276,286274009,"mens casual bomber bk, xl",2,199.99,-100.0
2277,286274012,"mens casual bomber bk, 2xl",2,199.99,-100.0
2278,286274014,"mens casual bomber bk, 3xl",1,199.99,-100.0
2279,2862745,"diamond patch cap, black",1,39.99,-100.0
2280,286274902,mw wt 1901 imc tee s,1,46.99,-100.0
2281,286274903,mw wt 1901 imc tee m,2,46.99,-100.0
2282,286274906,mw wt 1901 imc tee l,1,46.99,-100.0
2283,286274909,mw wt 1901 imc tee xl,2,46.99,-100.0
2284,286274912,mw wt 1901 imc tee 2xl,2,46.99,-100.0
2285,286275102,mw bl vintage graphic tee s,1,54.99,-100.0
2286,286275103,mw bl vintage graphic tee m,2,54.99,-100.0
2287,286275109,mw bl vintage graphic tee xl,2,54.99,-100.0
2288,286275112,mw bl vintage graphic tee 2xl,2,54.99,-100.0
2289,286275203,mw bk team jersey m,1,67.99,-100.0
2290,286275212,mw bk team jersey 2xl,1,67.99,-100.0
2291,286275214,mw bk team jersey 3xl,1,67.99,-100.0
2292,286275302,mw bk indian polo shirt s,2,59.99,-100.0
2293,286275303,mw bk indian polo shirt m,2,59.99,-100.0
2294,286275314,mw bk indian polo shirt 3xl,1,59.99,-100.0
2295,286275502,mw bl herringbone shirt s,2,84.99,-100.0
2296,286275514,mw bl herringbone shirt 3xl,1,84.99,-46.14
2297,286275609,mw bk vented ss shirt xl,2,89.99,-100.0
2298,286275614,mw bk vented ss shirt 3xl,1,89.99,-100.0
2299,286275802,mw bk est. 1901 tee s,2,39.99,-100.0
2300,286275803,mw bk est. 1901 tee m,1,39.99,-100.0
2301,286275812,mw bk est. 1901 tee 2xl,1,39.99,-100.0
2302,286275814,mw bk est. 1901 tee 3xl,1,39.99,-46.13
2303,286275914,mw bk diamond graphic tee 3xl,1,46.99,-100.0
2304,286276002,mw wt v-twin engine tee s,1,54.99,-100.0
2305,286276202,mw gy athlete tee s,2,59.99,-100.0
2306,286276203,mw gy athlete tee m,2,59.99,-100.0
2307,286276209,mw gy athlete tee xl,1,59.99,-100.0
2308,286276702,mw gy watercolor tee s,2,46.99,-100.0
2309,286276703,mw gy watercolor tee m,2,46.99,-100.0
2310,286276712,mw gy watercolor tee 2xl,1,46.99,-100.0
2311,286276714,mw gy watercolor tee 3xl,1,46.99,-100.0
2312,286276802,mw gr im block logo tee s,1,39.99,-100.0
2313,286276809,mw gr im block logo tee xl,1,39.99,-100.0
2314,286276814,mw gr im block logo tee 3xl,2,39.99,-100.0
2315,286277303,ww bk glitter graphic tee m,1,54.99,-30.9
2316,286277306,ww bk glitter graphic tee l,2,54.99,-100.0
2317,286277902,ww rd icon hoodie s,2,119.99,-100.0
2318,286277906,ww rd icon hoodie l,2,119.99,-100.0
2319,286277909,ww rd icon hoodie xl,2,119.99,-100.0
2320,286278112,ww ch off shoulder tee 2xl,1,46.99,-100.0
2321,286278203,ww bk icon graphic tee m,2,59.99,-100.0
2322,286278209,ww bk icon graphic tee xl,2,59.99,-100.0
2323,286278212,ww bk icon graphic tee 2xl,1,59.99,-100.0
2324,286278902,ww red long sleeve tee s,2,59.99,-100.0
2325,286278903,ww red long sleeve tee m,2,59.99,-100.0
2326,286278906,ww red long sleeve tee l,2,59.99,-100.0
2327,286279103,mw red long sleeve tee m,1,59.99,-100.0
2328,286279109,mw red long sleeve tee xl,2,59.99,-100.0
2329,286279112,mw red long sleeve tee 2xl,1,59.99,-100.0
2330,2862793,"block ripstop cap, gray",2,39.99,-46.13
2331,2862794,"icon patch cap, khaki",4,32.99,-100.0
2332,2862796,"leather chain wallet, black",4,79.99,-100.0
2333,2862797,icon pin badge,1,15.99,-100.0
2334,2862798,dry cooler bag,1,169.99,-100.0
2335,2862800,block logo leather key ring,7,26.99,-100.0
2336,2862801,shield logo key ring,7,19.99,-78.59
2337,2862802,icon rubber key ring,7,24.99,-100.0
2338,2862803,imc clip ring,5,19.99,-78.44
2339,286280701,"modular matte helmet bk, xs",1,389.99,-100.0
2340,286280702,"modular matte helmet bk, s",1,389.99,7.7
2341,286280703,"modular matte helmet bk, m",1,389.99,-46.15
2342,286280706,"modular matte helmet bk, l",1,389.99,7.7
2343,286280709,"modular matte helmet bk, xl",1,389.99,7.7
2344,286280712,"modular matte helmet bk, 2xl",2,389.99,-100.0
2345,286280802,"open face hlmt mat bk/gn, s",1,234.99,-100.0
2346,286280806,"open face hlmt mat bk/gn, l",1,234.99,-100.0
2347,286280812,"open face hlmt mat bk/gn, 2xl",1,234.99,-100.0
2348,2862809,monaco sunglasses,2,39.99,-46.13
2349,2862812,denton sunglasses,1,54.99,7.72
2350,2862814,getaway sunglasses,3,54.99,-82.05
2351,2862815,performance sunglasses 2,2,129.99,-100.0
2352,2862817,icon logo embossed mug,4,19.99,-69.65
2353,2862818,script logo barrel mug,6,19.99,-91.02
2354,286283702,mw black hills jkt ce blk s,1,339.99,-100.0
2355,286283703,mw black hills jkt ce blk m,1,339.99,-100.0
2356,286283706,mw black hills jkt ce blk l,1,339.99,-100.0
2357,286283712,mw black hills jkt ce blk 2xl,1,339.99,-100.0
2358,286283809,ww black hills jkt ce blk xl,1,339.99,-100.0
2359,286283812,ww black hills jkt ce blk 2xl,1,339.99,-100.0
2360,286284309,mw beckman jkt 2 ce blk xl,1,559.99,-100.0
2361,286284314,mw beckman jkt 2 ce blk 3xl,1,559.99,-100.0
2362,286284402,mw denim jacket blu s,1,129.99,-100.0
2363,286284409,mw denim jacket blu xl,1,129.99,-100.0
2364,286284503,ww denim jacket blue m,1,129.99,-100.0
2365,286284506,ww denim jacket blue l,1,129.99,-100.0
2366,28628463232,mw riding jean ce blk 32 x 32,2,284.99,-100.0
2367,28628463432,mw riding jean ce blk 34 x 32,1,284.99,-46.15
2368,28628463434,mw riding jean ce blk 34 x 34,1,284.99,-100.0
2369,28628463632,mw riding jean ce blk 36 x 32,1,284.99,-46.15
2370,28628463832,mw riding jean ce blk 38 x 32,2,284.99,-100.0
2371,286284802,mw classic glove 2 ce blk s,2,99.99,-100.0
2372,286284803,mw classic glove 2 ce blk m,2,99.99,-100.0
2373,286284806,mw classic glove 2 ce blk l,2,99.99,-100.0
2374,286284812,mw classic glove 2 ce blk 2xl,1,99.99,-100.0
2375,286284902,ww classic glove 2 ce blk s,2,99.99,-100.0
2376,286284906,ww classic glove 2 ce blk l,2,99.99,-100.0
2377,286285002,mw softshell glove ce blk s,1,104.99,-46.15
2378,286285003,mw softshell glove ce blk m,2,104.99,-100.0
2379,286285006,mw softshell glove ce blk l,2,104.99,-100.0
2380,286285009,mw softshell glove ce blk xl,2,104.99,-100.0
2381,286285012,mw softshell glove ce blk 2xl,1,104.99,-46.15
2382,286285302,ww riding legging blk s,1,299.99,-100.0
2383,286285303,ww riding legging blk m,2,299.99,-100.0
2384,286285309,ww riding legging blk xl,2,299.99,-100.0
2385,286285312,ww riding legging blk 2xl,2,299.99,-100.0
2386,286285314,ww riding legging blk 3xl,1,299.99,-100.0
2387,286285402,mw casual camo jacket blk s,2,199.99,-100.0
2388,286285403,mw casual camo jacket blk m,2,199.99,-100.0
2389,286285406,mw casual camo jacket blk l,1,199.99,-100.0
2390,286285409,mw casual camo jacket blk xl,2,199.99,-100.0
2391,286285412,mw casual camo jacket blk 2xl,1,199.99,-46.15
2392,286285414,mw casual camo jacket blk 3xl,1,199.99,-100.0
2393,2862855,imc logo goggle,1,129.99,-100.0
2394,2862872,roadmaster bandana rd,2,19.99,-100.0
2395,286287303,mw wt 1920 engine tee m,1,54.99,-100.0
2396,286287306,mw wt 1920 engine tee l,2,54.99,-100.0
2397,286287312,mw wt 1920 engine tee 2xl,1,54.99,-100.0
2398,286287406,mw bk 1922 chief tee l,2,46.99,-100.0
2399,286287412,mw bk 1922 chief tee 2xl,1,46.99,-100.0
2400,286287503,mw gy factory sign tee m,1,54.99,-100.0
2401,286287506,mw gy factory sign tee l,2,54.99,-100.0
2402,286287512,mw gy factory sign tee 2xl,1,54.99,-100.0
2403,286287603,mw wt 841 bike tee m,1,46.99,-100.0
2404,286287612,mw wt 841 bike tee 2xl,1,46.99,-100.0
2405,286287703,mw gy 1910 script tee m,1,46.99,-100.0
2406,286287706,mw gy 1910 script tee l,2,46.99,-100.0
2407,286287709,mw gy 1910 script tee xl,2,46.99,-100.0
2408,286287712,mw gy 1910 script tee 2xl,1,46.99,-100.0
2409,286287802,ww bk 1922 chief tee s,1,46.99,-100.0
2410,286287803,ww bk 1922 chief tee m,2,46.99,-100.0
2411,286287806,ww bk 1922 chief tee l,1,46.99,-100.0
2412,286287809,ww bk 1922 chief tee xl,1,46.99,-100.0
2413,286287902,ww gy factory sign tee s,1,54.99,-100.0
2414,286287903,ww gy factory sign tee m,2,54.99,-100.0
2415,286287906,ww gy factory sign tee l,2,54.99,-100.0
2416,286288003,factory sign tee hat s/m,1,32.99,-100.0
2417,286288202,mw bl usa flag logo tee s,2,46.99,-100.0
2418,286288203,mw bl usa flag logo tee m,1,46.99,-100.0
2419,286288206,mw bl usa flag logo tee l,2,46.99,-100.0
2420,286288209,mw bl usa flag logo tee xl,2,46.99,-100.0
2421,286288212,mw bl usa flag logo tee 2xl,1,46.99,-46.14
2422,286288214,mw bl usa flag logo tee 3xl,1,46.99,-100.0
2423,286288302,mw wt america's first tee s,2,46.99,-100.0
2424,286288303,mw wt america's first tee m,2,46.99,-100.0
2425,286288309,mw wt america's first tee xl,2,46.99,-100.0
2426,286288312,mw wt america's first tee 2xl,2,46.99,-100.0
2427,286288314,mw wt america's first tee 3xl,1,46.99,-100.0
2428,286288402,mw gr hendee tee s,2,54.99,-100.0
2429,286288403,mw gr hendee tee m,2,54.99,-100.0
2430,286288406,mw gr hendee tee l,2,54.99,-100.0
2431,286288409,mw gr hendee tee xl,2,54.99,-100.0
2432,286288412,mw gr hendee tee 2xl,2,54.99,-100.0
2433,286288414,mw gr hendee tee 3xl,1,54.99,-100.0
2434,286288502,mw rd spirit lake tee s,2,54.99,-100.0
2435,286288503,mw rd spirit lake tee m,2,54.99,-100.0
2436,286288506,mw rd spirit lake tee l,2,54.99,-100.0
2437,286288509,mw rd spirit lake tee xl,2,54.99,-100.0
2438,286288512,mw rd spirit lake tee 2xl,2,54.99,-100.0
2439,286288514,mw rd spirit lake tee 3xl,1,54.99,-100.0
2440,286288602,mw bk est.1901 marl tee s,2,46.99,-100.0
2441,286288603,mw bk est.1901 marl tee m,2,46.99,-100.0
2442,286288606,mw bk est.1901 marl tee l,2,46.99,-100.0
2443,286288609,mw bk est.1901 marl tee xl,2,46.99,-100.0
2444,286288614,mw bk est.1901 marl tee 3xl,1,46.99,-100.0
2445,286288702,mw gr rhombus tee s,2,46.99,-100.0
2446,286288703,mw gr rhombus tee m,2,46.99,-100.0
2447,286288706,mw gr rhombus tee l,2,46.99,-100.0
2448,286288709,mw gr rhombus tee xl,2,46.99,-100.0
2449,286288712,mw gr rhombus tee 2xl,2,46.99,-100.0
2450,286288714,mw gr rhombus tee 3xl,1,46.99,-100.0
2451,286288802,mw bk camo pocket tee s,2,54.99,-100.0
2452,286288803,mw bk camo pocket tee m,2,54.99,-100.0
2453,286288809,mw bk camo pocket tee xl,2,54.99,-100.0
2454,286288812,mw bk camo pocket tee 2xl,2,54.99,-100.0
2455,286288814,mw bk camo pocket tee 3xl,1,54.99,-100.0
2456,286288902,mw bk imc circle tee s,2,54.99,-100.0
2457,286288909,mw bk imc circle tee xl,1,54.99,-46.14
2458,286288914,mw bk imc circle tee 3xl,1,54.99,-100.0
2459,286289202,mw gr icon khaki tee s,2,39.99,-100.0
2460,286289203,mw gr icon khaki tee m,2,39.99,-100.0
2461,286289212,mw gr icon khaki tee 2xl,2,39.99,-100.0
2462,286289214,mw gr icon khaki tee 3xl,2,39.99,-100.0
2463,286289306,mw rd 2 in 1 ls tee l,1,67.99,-100.0
2464,286289309,mw rd 2 in 1 ls tee xl,2,67.99,-100.0
2465,286289402,mw loopback script ls tee s,2,59.99,-100.0
2466,286289403,mw loopback script ls tee m,1,59.99,-100.0
2467,286289406,mw loopback script ls tee l,2,59.99,-100.0
2468,286289414,mw loopback script ls tee 3xl,1,59.99,-100.0
2469,286289602,mw gy athlete ls tee s,1,79.99,-100.0
2470,286289603,mw gy athlete ls tee m,1,79.99,-100.0
2471,286289612,mw gy athlete ls tee 2xl,1,79.99,-100.0
2472,286289902,mw bk imc camo hoodie s,1,129.99,-100.0
2473,286289903,mw bk imc camo hoodie m,2,129.99,-100.0
2474,286289906,mw bk imc camo hoodie l,1,129.99,-46.15
2475,286289909,mw bk imc camo hoodie xl,1,129.99,-46.15
2476,286289912,mw bk imc camo hoodie 2xl,1,129.99,-46.15
2477,286289914,mw bk imc camo hoodie 3xl,3,129.99,-100.0
2478,286290002,mw bl pullover hoodie s,1,129.99,-46.15
2479,286290003,mw bl pullover hoodie m,1,129.99,-46.15
2480,286290014,mw bl pullover hoodie 3xl,1,129.99,-100.0
2481,286290202,mw black denim shirt s,1,104.99,-100.0
2482,286290206,mw black denim shirt l,1,104.99,-100.0
2483,286290212,mw black denim shirt 2xl,1,104.99,-100.0
2484,286290802,ww port marl tee s,2,46.99,-100.0
2485,286290803,ww port marl tee m,2,46.99,-100.0
2486,286290809,ww port marl tee xl,1,46.99,-100.0
2487,286290902,ww bk blue graphic tee s,2,46.99,-100.0
2488,286290903,ww bk blue graphic tee m,2,46.99,-100.0
2489,286290906,ww bk blue graphic tee l,2,46.99,-100.0
2490,286290909,ww bk blue graphic tee xl,2,46.99,-100.0
2491,286291002,ww ch imc circle logo tee s,2,54.99,-100.0
2492,286291003,ww ch imc circle logo tee m,2,54.99,-100.0
2493,286291006,ww ch imc circle logo tee l,2,54.99,-100.0
2494,286291009,ww ch imc circle logo tee xl,2,54.99,-100.0
2495,286291202,ww bk marl est. 1901 tee s,2,46.99,-100.0
2496,286291203,ww bk marl est. 1901 tee m,2,46.99,-100.0
2497,286291206,ww bk marl est. 1901 tee l,2,46.99,-100.0
2498,286291402,ww icon khaki tee s,2,39.99,-100.0
2499,286291403,ww icon khaki tee m,1,39.99,-100.0
2500,286291406,ww icon khaki tee l,2,39.99,-100.0
2501,286291409,ww icon khaki tee xl,2,39.99,-100.0
2502,286292102,ww ch contrast hoodie s,1,119.99,-46.15
2503,286292106,ww ch contrast hoodie l,2,119.99,-100.0
2504,286292109,ww ch contrast hoodie xl,2,119.99,-100.0
2505,286292302,ww bl western denim shirt s,1,89.99,-100.0
2506,286292303,ww bl western denim shirt m,2,89.99,-100.0
2507,286292306,ww bl western denim shirt l,2,89.99,-100.0
2508,286292309,ww bl western denim shirt xl,1,89.99,-100.0
2509,286292803,circle graphic cap black s/m,3,39.99,-100.0
2510,286292806,circle graphic cap black l/xl,2,39.99,-73.07
