cost_per_unit,order_to_sales_ratio,supplier_name,price,description,quantity_ordered_ytd,quantity,gross_profit,roi,sell_through_rate,reorder_point,3m_days_supply,rolling_12m_sales,sales_volatility,part_status,safety_stock,part_number,total_cost,3m_turnover,days_of_inventory_outstanding,demand,sales_revenue,cogs,1m_days_supply,margin,margin_percentage,special_orders_ytd,negative_on_hand,rolling_3m_sales,12m_days_supply,obsolescence_risk,turnover,months_no_sale,sales_trend,recent_sales_trend,normalized_seasonal_score
38.04,0.0,triumph motorcycles,58.99,"clamp, handlebar, upper",0,2,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,t2046305,76.08,0.0,2760,0.0,0.0,0.0,0,20.95,35.51,0,0,0,0,1.0,0.0,92,0.0,0.0,0.009202088646286483
4.19,0.0,thibault canada,5.99,valve core remove tool,0,0,0.0,0.0,0.0,0,0,0,4.358899,obsolete,0,230a4930,0.0,0.0,480,0.0,0.0,0.0,0,1.8,30.05,0,0,0,0,1.0,0.0,16,-0.049122807,0.0,0.18859649122807015
265.2,0.0,bmw group canada,390.99,housing cover,0,1,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,21212333023,265.2,0.0,570,0.0,0.0,0.0,0,125.79,32.17,0,0,0,0,1.0,0.0,19,0.0,0.0,0.020324449983401584
38.52,0.0,bmw group canada,53.99,left chain tensioner,0,1,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,11311341295,38.52,0.0,570,0.0,0.0,0.0,0,15.47,28.65,0,0,0,0,1.0,0.0,19,0.0,0.0,-0.013157894736842098
165.67,0.0,parts canada/power twins,353.99,180/60zr17 (75w) diablo rosso,0,0,0.0,0.0,0.0,0,0,0,4.358899,obsolete,0,0302-1131,0.0,0.0,450,0.0,0.0,0.0,0,188.32,53.2,0,0,0,0,1.0,0.0,15,-0.010526316,0.0,0.040019103741149746
1.86,0.0,ducati,3.99,"circlip, piston pin",0,17,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,88440111a,31.62,0.0,2490,0.0,0.0,0.0,0,2.13,53.38,0,0,0,0,1.0,0.0,83,0.0,0.0,0.0039558060905556455
60.06,0.0,bmw group canada,107.99,pants m sport men's black,0,1,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,76618542460,60.06,0.0,570,0.0,0.0,0.0,0,47.93,44.38,0,0,0,0,1.0,0.0,19,0.0,0.0,-0.12045658603130595
185.24,0.0,polaris acceptance,284.99,mw riding jean ce blk 34 x 34,0,1,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,28628463434,185.24,0.0,600,0.0,0.0,0.0,0,99.75,35.0,0,0,0,0,1.0,0.0,20,0.0,0.0,-0.058738179146549364
30.4,0.0,bmw group canada,47.99,gasket ring,0,6,0.0,0.0,0.0,0,0,0,3.06159,idle,0,31427692147,182.4,0.0,360,0.0,0.0,0.0,0,17.59,36.65,0,0,0,0,1.0,0.0,12,-0.02982456,0.0,-0.3045827356520654
34.71,0.0,bmw group canada,51.99,lock left,0,1,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,46547720291,34.71,0.0,570,0.0,0.0,0.0,0,17.28,33.24,0,0,0,0,1.0,0.0,19,0.0,0.0,0.03990384303225145
66.94,0.0,triumph motorcycles,102.99,headlight guard kit,0,1,108.15,53.85,131.25,0,90,3,1.719173,idle,0,a9830079,66.94,2.466448516962163,214,0.21376743027466855,308.97,200.82,0,36.05,35.0,1,0,1,121,0.01729711927473545,1.6989437045273261,2,0.014035088,-0.5,0.030817015094863325
201.69,0.0,triumph motorcycles,310.99,"disc, rear",0,1,0.0,0.0,0.0,0,0,0,0.0,obsolete,0,t2025200,201.69,0.0,570,0.0,0.0,0.0,0,109.3,35.15,0,0,0,0,1.0,0.0,19,0.0,0.0,0.0032107491560038498
32.96,0.0,motovan,78.99,"5100 ester 10w40 oil, 4l",0,0,0.0,0.0,0.0,0,0,1,4.358899,idle,0,27-l524,0.0,0.0,210,0.18124809451512358,0.0,0.0,0,46.03,58.27,0,1,0,0,0.01780531629920006,0.0,7,0.003508772,0.0,0.02909637980796298
