part_number,normalized_seasonal_score,sales_sep,sales_oct,supplier_name,price,sales_last_jan,sales_feb,description,quantity_ordered_ytd,sales_last_apr,margin,quantity,sales_last_nov,sales_jan,sales_last_oct,sales_last_jul,sales_last_sep,sales_last_dec,sales_mar,special_orders_ytd,sales_may,sales_jun,sales_jul,sales_aug,sales_dec,negative_on_hand,sales_last_mar,sales_last_aug,sales_last_may,months_no_sale,sales_last_jun,sales_last_feb,sales_apr,sales_nov,cost_per_unit,total_cost,margin_percentage,sales_revenue,cogs,gross_profit,roi,rolling_3m_sales,rolling_12m_sales,12m_days_supply,3m_days_supply,1m_days_supply,turnover,3m_turnover,sell_through_rate,days_of_inventory_outstanding,order_to_sales_ratio,sales_trend,sales_volatility,recent_sales_trend,demand
08-080577,-0.0008603176434501507,0,0,motovan,5.99,0,0,jis crosshead 1/4 in. bit siz,0,0,2.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,3.43,3.43,42.74,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1590,0.0,0.0,0.0,0.0,0.0
34-538,0.020009551870574852,0,0,motovan,174.99,0,0,ytx14ah-bs battery yuasa,0,0,70.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,104.71,104.71,40.16,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0,0.0,0.0,0.0,0.0
46638527151,-0.04922119238743626,0,0,bmw group canada,3.99,0,0,grommet,0,0,1.75,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2.24,13.44,43.86,0.0,0.0,0.0,0.0,0,1,2190,0,0,0.0,0.0,14.29,270,0.0,0.0,4.358899,0.0,0.22024425605834036
7119906605,-0.016683542005672663,0,0,bmw group canada,4.99,0,1,o-ring,0,0,2.11,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,5,2,0,0,0,2.88,43.2,42.28,4.99,2.88,2.11,73.26,0,3,1824,0,0,0.0549513451631368,0.192,16.67,6642,0.0,-0.03508772,2.0652618,0.0,0.3068727875210452
t1260009,0.0510262043693665,0,0,triumph motorcycles,39.99,0,0,gasket metal alternator,0,0,15.46,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,24.53,0.0,38.66,39.99,24.53,15.46,63.02,0,1,0,0,0,0.0,0.0,0.0,120,0.0,0.00877193,4.358899,0.0,0.14278584159363578
t2080990,0.0020355333997270075,0,0,triumph motorcycles,19.99,0,0,"peg, bank angle",0,0,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,12.97,0.0,35.12,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,330,0.0,-0.003508772,4.358899,0.0,0.15079522955551344
t2081089,0.13415990029877142,0,0,triumph motorcycles,134.99,1,0,"footrest, lh, p",0,0,47.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,87.58,0.0,35.12,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,540,0.0,-0.015789473,4.358899,0.0,0.0
11317700344,-0.020754608805126654,0,0,bmw group canada,4.99,0,0,roll pin,0,0,2.44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2.55,5.1,48.9,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,570,0.0,0.0,0.0,0.0,0.0
77950161a,-0.010377304402563325,0,0,ducati,1.99,0,0,screw m8x35,0,0,1.16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0.83,2.49,58.29,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1680,0.0,0.0,0.0,0.0,0.0
77150668b,0.2644566465485926,0,0,ducati,0.99,0,0,screw tcei m6x18,0,0,0.642,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0.35,1.75,64.65,14.85,5.25,9.6,182.86,0,15,121,0,0,0.0,2.9282868525896415,-262.5,90,0.0,0.15789473,4.358899,0.0,0.6399346291931918
