normalized_seasonal_score,quantity,margin,months_no_sale,negative_on_hand,gross_profit,12m_days_supply,turnover,sell_through_rate,sales_trend,sales_volatility,recent_sales_trend
-0.17252794420492137,-0.9238928716280498,-0.11269498414592817,0.34117233223922083,-0.02515642530284822,-0.08978810146567412,0.7185342560656136,-0.020779897312168033,-0.15584964193170892,-0.4799541141305235,-0.6608219620157615,-0.12058821073966101
-0.27086192823131566,7.202743811176333,0.05732761620136444,-1.0628244446273312,-0.02852016538148746,-0.08383346963732037,-6.176750045923982,-0.5133421499590622,-0.9235128873540088,1.7258533133537275,-0.723077896827599,1.2158777577243745
-0.17532039031008026,1.133004654798642,0.06844074926979374,0.05861088174249744,-0.029158467401284725,0.02142186468001455,-1.523682897191029,0.0263143566402141,-0.045700195899698884,-0.44327413457504006,0.3642775746984989,-0.10415815968532115
-0.12805443814577303,-0.857258648086572,-0.08262342657893897,-0.518228258464369,-0.03590883307624608,0.027329014672432095,0.75287090074562,-0.21417750688357046,-0.11359708744566888,0.13404770481254671,-0.28252350258931985,-0.12331437171204016
-0.2109085470403079,-1.056462234535502,-0.27639287362864706,-0.20637022298236843,-0.026303678946569563,0.19901002660975792,0.20355935688101454,0.07297677430848125,0.14892900471109896,0.013468934170668944,-0.5503176258364693,-0.1201490845065564
-0.13444837563059991,-0.7711533951119054,-0.31529844623524694,-0.4842690339445835,-0.034313708702102305,0.2090717306965962,0.7044263637607219,-0.2409335038610152,-0.11542967944405973,0.14737390584748936,-0.2680632941730437,-0.1717105967644602
-0.11888398453244008,0.9793580335506704,0.6344589307514252,-1.0405981551911099,-0.03214003163157031,-0.5739529044128722,-1.2878165278260711,0.26066489108023233,-0.1415650588274002,1.3058232739905362,-0.14225161213282264,-0.17391320956638082
-0.03779468277847627,1.236867851712668,-0.06343609059462324,0.9668702416517772,-0.02348216329701245,-0.08335813374083954,-2.190691433592001,0.05394376606564037,-0.12556823008228093,-0.9650011028145673,-0.27195876971061805,-0.12940454422030598
-0.05442057446023682,-0.9478455550747458,-0.07176143704797142,1.089042151622125,-0.022041965033859013,-0.0935217982326867,0.7528408957266948,-0.0174687592376722,-0.13412206681910901,-1.333790591263969,-0.6398404600904906,-0.11766710361698643
-0.1687809392917552,-0.9271185877546668,0.003713774112984538,0.33499390930111983,-0.02797989077400416,-0.10042704225634225,0.733535795083153,-0.02263770148623735,-0.15249641505768521,-0.5009221179506858,-0.6886519783377298,-0.12189162239665166
-0.19276380651135697,-0.8558849764277693,-0.07989649407099933,-1.151569411288947,-0.03387562691699714,-0.01101314257888589,0.7053705594380153,-0.06210868387017399,-0.12844564690021798,0.7571862394580967,-0.6476783759362297,-0.13912851039785892
1.1292793480842374,-0.9857294562575407,0.4143707449408248,0.8702877831703517,-0.02477791752666235,-0.29381223529751876,1.1455953607425908,-0.017993649094132706,-0.12236642048228533,-0.9073248177749338,-0.4695604501539492,-0.1190264075784944
-0.12159570122224977,-1.5000723374157678,-0.20287302573618946,-0.009524245504871942,-0.029244720274582504,0.11251942172297276,0.5908480513072573,0.11676220747060143,0.7747869233228266,-0.20147204099281224,-0.1811797710333485,-0.12961363279260696
-0.17047181397181702,-0.8445058952772524,-0.3193139738822356,-1.2290196931059472,-0.031052161445841192,0.20623385830491314,0.7013370902574388,-0.062331084912875666,-0.12918352669570596,0.8079546847179881,-0.6202276432540385,-0.11349987491732463
0.6277152908220888,5.703656977045757,0.1072957049543038,-0.19231702303222847,-0.0228900975943543,-0.11869347543164623,-3.4882382960338147,0.15502154633752072,0.06386855020653456,-0.2844266905929544,0.6240443892023176,0.03618558852933347
-0.14296631205448648,-1.1166375824632269,-0.18752975176961628,-0.6941459241195116,-0.026303678946569563,0.13436889559146947,0.20711309041216736,0.0430661564192269,0.11629616359714419,0.5027062067191582,-0.5643658101232722,-0.12065352817997337
-0.1602943751553539,-0.8543038914119825,0.34671310663805344,-1.2822002022876404,-0.025817610786762087,-0.3128374603902921,0.8620891293880413,-0.211289235673612,-0.0734408304025419,1.8582799509301549,-0.7455411417572759,-0.10924779918044805
-0.19928851202654185,-0.9394435946652083,0.23489502994692885,1.0635360702587058,-0.026355227353051305,-0.19800879153830464,0.7784698852401926,-0.026250374975497835,-0.140495985976886,-1.287858688517008,-0.6618122715858044,-0.12076749086147175
-0.17123900638864142,-0.8260080813081003,-0.28274187980685384,-1.1556302557815799,-0.031052161445841192,0.18348312093585264,0.6924713571713074,-0.05643555690185167,-0.13298552989028395,0.7628836169288843,-0.6190591251399019,-0.14104563997592778
-0.11324889657989842,0.4478779156938981,-0.0475878873950569,-0.940185713613173,-0.03368311149533838,0.004696949326316826,-1.1890312084089965,0.08698053900967352,-0.11236196239013224,0.7432058809394948,-0.4898446439401596,-0.11277298074448482
0.00012535317073343323,-1.49439177502878,-0.19512128481583205,-0.11467055735818577,-0.03577962164534256,0.23737308207317256,0.8011762175534386,-0.620003608285915,1.2014616877771913,-0.7365206496219616,0.7988041704619536,-0.16903918370138854
-0.1757755596653442,-1.2131355979130602,-0.016912842304445803,-1.0863221716065892,-0.033975624786689876,-0.02144481479015667,0.683599418408412,-0.01059378124336945,0.22902007979108022,1.3312465665271156,-0.630065916373278,0.1121406646235846
-0.11800996496138395,-1.6025321124889889,-0.13976863824063912,0.9531830026913667,-0.023243907084688546,-0.09381943009037058,0.6363932636682875,0.020502739564108197,0.8156430795928463,-1.0412763432814973,-0.2078127202397445,-0.1328145500132814
